C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2,C2_NM,C2_NM_ENG,C2_OBJ_NM,C2_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,ITM_NM_ENG,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
0,수주총액,Total amount of orders received,발주자별,By the kind of orderer,0,계,Total,공종별,By the kind of construction works,139768291,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
0,수주총액,Total amount of orders received,발주자별,By the kind of orderer,1,건축,Building,공종별,By the kind of construction works,101013603,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
0,수주총액,Total amount of orders received,발주자별,By the kind of orderer,11, 주택,　Dwellings,공종별,By the kind of construction works,60427627,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
0,수주총액,Total amount of orders received,발주자별,By the kind of orderer,111,  신규주택,　New homes,공종별,By the kind of construction works,38548648,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
0,수주총액,Total amount of orders received,발주자별,By the kind of orderer,112,  재건축,　Reconstruction,공종별,By the kind of construction works,7705345,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
0,수주총액,Total amount of orders received,발주자별,By the kind of orderer,113,  재개발,　Redevelopment,공종별,By the kind of construction works,14173634,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
0,수주총액,Total amount of orders received,발주자별,By the kind of orderer,12, 사무실 및 점포,　Offices ＆ stores,공종별,By the kind of construction works,18633037,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
0,수주총액,Total amount of orders received,발주자별,By the kind of orderer,13, 공장 및 창고,　Factory ＆ storage,공종별,By the kind of construction works,15101903,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
0,수주총액,Total amount of orders received,발주자별,By the kind of orderer,14, 관공서 등,　Public offices,공종별,By the kind of construction works,4972914,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
0,수주총액,Total amount of orders received,발주자별,By the kind of orderer,15, 기타,　Others,공종별,By the kind of construction works,1878122,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
0,수주총액,Total amount of orders received,발주자별,By the kind of orderer,2,토목,Civil engineering,공종별,By the kind of construction works,38754688,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
0,수주총액,Total amount of orders received,발주자별,By the kind of orderer,21, 치산 및 치수,　Forestry conservancy ＆ water control,공종별,By the kind of construction works,567430,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
